BUYER_ID,frequency,recency,profit
20147,12,53,131
20149,1,543,4
20151,2,257,10
20154,3,375,60
20161,14,375,135
20167,3,373,25
20176,14,67,47
20178,3,346,15
20179,3,573,5
20180,7,404,20
20183,2,546,23
20185,2,38,4
20186,8,404,34
20187,1,603,14
20189,2,157,8
20191,2,434,11
20195,5,436,39
20196,1,464,1
20198,2,596,16
20201,9,496,36
20202,10,107,123
20203,4,495,4
20204,36,375,123
20205,2,539,5
20207,1,602,1
20208,1,602,1
20209,34,404,740
20210,35,21,314
20211,2,589,2
20212,1,601,1
20213,17,55,76
20218,1,601,1
20219,14,392,79
20220,1,536,5
20222,1,600,3
20227,1,600,4
20241,1,600,2
20242,3,519,3
20244,3,534,15
20253,3,405,14
20255,1,599,2
20260,1,616,6
20273,1,598,1
20275,4,421,10
20276,1,573,6
20279,1,597,2
20282,1,707,2
20284,1,589,4
20324,3,441,20
20327,1,596,6
20328,2,577,21
20329,1,596,4
20337,3,436,32
20342,2,588,8
20351,3,370,31
20353,10,405,55
20357,11,403,36
20369,3,358,20
20370,2,589,3
20374,4,580,84
20375,1,619,9
20376,18,27,159
20377,7,9,51
20378,5,374,43
20385,1,619,1
20388,5,402,43
20401,1,544,2
20407,5,375,45
20412,1,589,2
20413,1,465,18
20422,1,558,7
20423,28,435,79
20441,2,375,21
20442,5,258,13
20444,7,374,78
20462,1,405,2
20482,2,466,46
20484,27,402,88
20502,4,148,27
20521,4,466,14
20523,1,564,14
20542,4,357,15
20547,2,435,4
20561,2,375,44
20563,1,649,3
20564,1,476,15
20565,3,404,10
20569,1,580,13
20570,3,375,38
20581,1,574,1
20582,5,405,18
20584,2,405,11
20585,3,405,39
20601,1,581,3
20602,1,375,13
20604,8,374,33
20608,1,581,4
20610,3,23,46
20611,2,581,8
20612,19,171,146
20613,1,581,4
20614,2,375,3
20615,1,375,3
20620,2,375,18
20641,3,375,8
20643,1,375,10
20645,1,375,9
20646,1,581,3
20647,1,570,1
20648,4,581,24
20650,6,433,25
20651,1,581,6
20652,4,577,20
20653,2,581,3
20654,2,541,4
20657,1,581,3
20660,4,577,12
20661,1,581,2
20662,13,534,45
20663,2,580,4
20664,1,581,7
20665,1,581,8
20666,1,581,5
20669,2,577,7
20672,2,575,6
20673,1,580,2
20674,1,581,4
20675,1,581,1
20676,1,581,7
20677,3,576,18
20678,3,580,12
20679,5,545,16
20680,3,574,6
20682,2,577,9
20683,2,435,4
20684,1,581,2
20685,1,581,1
20686,1,581,10
20688,5,577,27
20689,2,579,8
20690,3,505,6
20692,2,527,8
20694,1,581,4
20696,1,434,1
20697,3,544,22
20698,2,580,9
20699,1,581,4
20700,2,581,4
20705,1,581,4
20706,17,109,41
20707,15,374,53
20708,1,581,3
20710,2,573,10
20711,8,576,68
20712,1,581,3
20714,1,581,7
20715,2,577,10
20718,1,581,2
20719,1,576,9
20721,1,581,6
20726,2,581,24
20727,2,580,7
20728,1,581,2
20729,1,581,3
20731,18,404,49
20732,2,576,8
20733,5,122,23
20734,2,581,6
20735,1,581,5
20736,2,575,7
20739,1,581,7
20740,1,581,3
20741,1,581,5
20744,4,323,10
20745,1,581,4
20746,1,580,3
20748,2,573,5
20749,1,581,4
20750,2,519,6
20751,4,563,19
20752,1,581,3
20753,2,580,4
20754,4,580,30
20756,6,434,68
20757,1,581,2
20758,1,581,2
20761,3,580,12
20762,1,545,3
20764,5,580,15
20767,1,581,3
20768,1,581,8
20769,3,576,3
20771,2,581,6
20772,5,538,18
20773,2,557,4
20775,4,573,6
20776,1,581,2
20778,3,533,8
20779,2,580,6
20781,2,574,5
20782,2,575,10
20783,3,580,3
20784,6,580,13
20786,1,580,1
20787,1,581,6
20788,10,577,14
20790,2,581,5
20792,1,581,4
20793,3,580,3
20795,1,581,5
20796,3,581,3
20797,2,569,4
20798,1,581,7
20799,3,580,19
20803,3,550,16
20804,2,533,19
20805,5,575,5
20806,1,506,1
20807,3,577,20
20808,3,464,4
20809,2,570,3
20810,1,580,5
20813,1,580,3
20814,5,577,43
20815,2,434,2
20816,2,558,2
20817,1,576,1
20818,4,580,20
20820,2,580,14
20821,1,580,13
20822,1,581,4
20825,1,580,16
20830,1,577,8
20831,6,567,15
20835,2,576,5
20836,4,527,11
20837,2,575,13
20843,2,580,4
20845,2,580,2
20846,1,580,1
20863,1,578,1
20864,4,574,18
20868,1,565,1
20870,2,527,4
20871,1,577,4
20872,1,580,1
20873,2,580,14
20874,1,580,1
20875,1,580,4
20878,11,112,16
20881,4,580,14
20884,4,404,10
20885,1,580,1
20886,1,580,1
20887,1,580,1
20888,1,580,10
20889,1,557,1
20890,1,580,9
20891,1,580,2
20892,2,565,6
20893,1,580,2
20894,2,579,5
20895,1,580,2
20896,1,580,7
20897,1,516,17
20898,1,580,4
20899,3,533,11
20900,1,580,7
20905,3,563,22
20906,3,577,14
20907,3,435,16
20908,1,580,8
20909,1,342,8
20911,1,577,4
20914,1,580,10
20915,7,2,39
20918,1,580,2
20920,1,580,4
20921,1,580,6
20922,1,580,2
20924,2,577,9
20926,1,580,3
20927,1,580,1
20929,5,543,15
20931,1,580,1
20932,1,580,5
20933,2,577,11
20939,8,571,32
20942,1,580,2
20943,1,580,3
20944,1,577,4
20946,4,577,24
20947,5,464,20
20948,4,464,27
20950,2,538,7
20951,2,577,9
20952,1,558,5
20954,2,575,8
20956,1,577,3
20958,1,434,1
20959,1,434,1
20967,1,576,3
20968,8,450,43
20970,3,577,3
20971,1,576,6
20972,3,576,25
20973,1,580,1
20974,1,577,8
20976,7,576,37
20978,1,575,4
20983,1,549,5
20984,2,327,4
20985,16,374,54
20986,4,61,52
20988,2,576,8
20992,3,577,10
20995,4,547,6
20996,3,577,15
20997,2,546,9
21000,3,152,12
21003,1,404,2
21011,2,232,9
21012,1,579,2
21015,2,573,7
21017,4,520,38
21022,1,577,2
21023,1,577,2
21026,10,577,20
21028,3,577,5
21029,1,577,9
21032,3,537,9
21033,12,533,33
21041,1,577,4
21043,1,575,1
21045,1,464,1
21048,3,577,6
21050,2,538,6
21051,5,374,13
21053,2,577,2
21055,3,534,9
21056,1,577,9
21058,1,577,3
21059,2,373,5
21060,1,577,6
21062,1,577,5
21063,1,577,1
21064,1,577,2
21067,3,494,23
21068,3,540,15
21069,2,577,11
21070,5,574,13
21073,8,534,11
21074,2,575,2
21076,1,575,1
21077,1,577,9
21080,1,577,1
21082,1,577,5
21083,1,577,1
21084,1,577,4
21086,1,577,2
21087,2,272,4
21089,2,577,6
21090,1,575,7
21092,1,577,3
21093,2,577,3
21094,1,577,3
21095,2,404,2
21096,2,137,11
21097,3,575,11
21098,1,577,3
21099,1,577,7
21100,1,577,4
21101,4,496,23
21103,2,576,5
21104,1,577,2
21106,1,644,15
21107,1,577,3
21108,1,577,6
21109,1,577,1
21110,3,496,8
21111,1,577,2
21112,1,577,5
21113,1,577,1
21114,1,577,4
21115,1,577,1
21117,1,576,2
21118,6,536,16
21119,2,576,2
21120,2,577,6
21121,1,577,3
